task_name 	arch	circuit	script_params	vpr_status	total_wirelength	total_runtime	num_clb	min_chan_width	crit_path_delay	
strong_soft_multipliers	k6_frac_N10_4add_2chains_depop50_mem20K_22nm.xml	mult_6x6.v	common	success	527	3.37	4	36	-1	
strong_soft_multipliers	k6_frac_N10_4add_2chains_depop50_mem20K_22nm.xml	mult_7x7.v	common	success	608	2.82	6	40	-1	
strong_soft_multipliers	k6_frac_N10_4add_2chains_depop50_mem20K_22nm.xml	mult_8x8.v	common	success	665	3.29	6	50	-1	
strong_soft_multipliers	k6_frac_N10_4add_2chains_depop50_mem20K_22nm.xml	mult_9x9.v	common	success	1237	3.17	9	50	-1	
strong_sub_tiles	sub_tiles.xml	sub_tiles.blif	common	success	19	11.46	-1	6	-1	
strong_sub_tiles_directs	heterogeneous_tile.xml	sub_tile_directs.blif	common	success	8	0.14	-1	3	-1	
strong_sweep_constant_outputs	k6_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	1372	1.96	17	36	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	success	729	0.87	11	34	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	success	729	0.88	11	34	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	success	2777	3.16	90	28	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	success	1151	0.95	13	26	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	success	2980	3.05	101	20	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	success	729	0.87	11	34	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	success	729	0.89	11	34	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	success	2777	3.16	90	28	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	success	729	0.87	11	34	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	exited with return code 1	-1	0.07	-1	-1	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	exited with return code 1	-1	0.07	-1	-1	-1	
strong_target_pin_util	EArch.xml	styr.blif	common	exited with return code 1	-1	0.07	-1	-1	-1	
